TAIL_NUMBER,MANUFACTURER,MODEL
N113GS,Swearingen,SA226-T(B)
N113GW,Beech,200
N113MP,Nihon,YS-11A-600
N113SB,Beech,E-90
N113SD,Mitsubishi,MU-2B-35
N113T,Rockwell International Corp,NA-265-60
N113US,Beech,B200
N113UW,Airbus Industrie,A320-214
N113WC,Piper,PA-42
N113YV,Beech,1900D
N1132,Douglas,DC3C
N1132J,British Aircraft Corp.,BAC 1-11 215/AU
N1134J,British Aircraft,BAC 1-11 203/AE
N114AK,Beech,C-45G
N114BF,Convair,340
N114CA,Lockheed,18-56
N114CX,Cessna,750
N114DL,Boeing,767-232
N114FE,Boeing,727-24C
N114HB,Raytheon Aircraft Company,B200
N114HC,Gates Lear Jet,25B
N114HY,Learjet Inc,31A
N114JF,Beech,200
N114LG,Rockwell International Corp,NA-265-65
N114M,British Aerospace,BAE 146 SERIES 100A
N114MN,Aero Commander,680FL
N114MP,Nihon,YS-11A-600
N114PJ,Learjet Inc,60
N114RA,Israel Aircraft Industries,1123
N114SB,Beech,200
N114SN,Israel Aircraft Industries,ASTRA SPX
N114SW,Cessna,402B
N114UW,Airbus Industrie,A320-214
N114WD,Hawker Siddeley,DH.125-3A
N114XJ,Saab-Fairchild,340A
N114YV,Beech,1900D
N1140,Beech,D18S
N1140A,Gates Lear Jet,35
N11461,Douglas,C-47A
N115AA,Mcdonnell Douglas,DC-10-10
N115AB,Aero Commander,690A
N115BF,Convair,440
N115BP,Israel Aircraft Industries,1124A
N115BX,Learjet Inc,31A
N115CR,Rockwell International Corp,NA-265-60
N115CT,Raytheon Aircraft Company,B200
N115DA,Boeing,767-232
N115DT,Beech,A100
N115DW,Britten-Norman,BN-2A-8
N115DX,Lockheed,1329-23E
N115FL,Gulfstream Aerospace,G-IV
N115GA,Gulfstream Aerospace,695B
N115GP,Beech,C-99
N115GS,Fairchild,SA227-AC
N115K,Cessna,560
N115ME,Beech,C-45H
N115MP,Nihon,YS-11A-600
N115MX,Beech,B200
N115NA,Douglas,DC3C-S1C3G
N115SA,Douglas,DC3C-S1C3G
N115TT,Beech,200
N115US,Airbus Industrie,A320-214
N115V,Beech,C-45G
N115XJ,Saab-Scania,SF340A
N115Z,Douglas,DC3C
N1151K,Lockheed,1329-23E
N11526,Embraer,EMB-135LR
N1159S,Douglas,DC3-G202A
N116AA,Mcdonnell Douglas,DC-10-10
N116AS,Learjet Inc,45
N116BX,Learjet Inc,31A
N116DD,Lockheed,1329-23E
N116DG,Beech,B100
N116DL,Boeing,767-332
N116FB,Grumman Aircraft Eng Corp,G-111
N116FE,Boeing,727-25C
N116GA,Grumman,G-159
N116HM,Gulfstream Aerospace,G-IV
N116J,Beech,D18S
N116JP,Piper,PA-42
N116KX,Aero Commander,1121
N116MA,Gates Lear Jet,36A
N116RA,Canadair Ltd,CL-600 CHALLENGER
N116RJ,Beech,A100
N116SA,Douglas,DC3C
N116UA,Boeing,747-422
N116US,Airbus Industrie,A320-214
N116Y,Beech,C-45H
N116YV,Beech,1900D
N11612,Boeing,737-524
N1162S,Beech,H-18
N1162V,Beech,200
N1164F,Mitsubishi,MU-2B-60
N11641,Boeing,737-524
N11651,Boeing,737-524
N11656,Boeing,737-524
N1167Z,Aero Commander,680FL P
N117AA,Mcdonnell Douglas,DC-10-10
N117AH,Israel Aircraft Industries,1124A
N117BH,Construcciones Aeronauticas Sa,C-212 AVIOCAR
N117CA,Beech,200
N117DL,Boeing,767-332
N117DN,Dornier,DORNIER 228-202
N117FE,Boeing,727-25C
N117FH,Beech,E-90
N117FJ,Grumman American Avn. Corp.,G-1159
N117G,Lockheed,18
N117GA,Boeing,C-97-G
N117GL,Gulfstream American Corp.,G-1159
N117H,Mitsubishi,MU-2B-60
N117JJ,Grumman,G-1159
N117JW,Rockwell International Corp,NA-265-65
N117MC,Pilatus Britten-Norman Ltd.,BN-2B-21
N117ME,Beech,H-18
N117MR,Cessna,560
N117MS,Gulfstream Aerospace,G-1159A
N117PK,Learjet Inc,35A
N117RR,Douglas,C-117D
N117SF,Dassault-Breguet,FALCON 50
N117TF,Bombardier Inc,BD-700-1A10
N117TJ,Beech,F90
N117UA,Boeing,747-422
N117UW,Airbus Industrie,A320-214
N117WA,Mcdonnell-Douglas,DC-10-30
N117X,Beech,D18S
N1171Z,Aero Commander,680T
N11710,Beech,C18S
N1177Z,Aero Commander,680FL
N1178D,Convair,T-29B
N1178Q,Convair,240
N118AA,Mcdonnell Douglas,DC-10-10
N118B,Lockheed,1329-25 JETSTAR II
N118BX,Learjet Inc,31A
N118CQ,Saab-Scania,SF340A
N118CR,Rockwell International,690A
N118DA,Gates Learjet Corp.,35A
N118DF,Boeing,727-2A1
N118DL,Boeing,767-332
N118FB,Grumman Aircraft Eng Corp,G-111
N118FE,Boeing,727-25C
N118FN,Gates Learjet Corp.,35A
N118GA,Embraer,EMB-110P1
N118GL,Beech,1900D
N118GW,Beech,300
N118HC,Learjet Inc,60
N118K,British Aerospace,BAE 125 SERIES 800A
N118L,Beech,D18S
N118M,Douglas,DC3C
N118MB,Gates Lear Jet,25B
N118MP,Israel Aircraft Industries,1124A
N118P,Mitsubishi,MU-2B-35
N118R,Gulfstream Aerospace,G-IV
N118RR,Douglas,C-118A
N118RW,Boeing,737-2Y5
N118SA,Beech,E18S
N118SF,Beech,99
N118SK,Beech,1900D
N118ST,Cessna,560XL
N118SW,Short Bros. & Harland,SD3-30
N118UA,Boeing,747-422
N118US,Airbus Industrie,A320-214
N118YV,Beech,1900C
N11805,Curtiss Wright,C-46
N11807,Curtiss Wright,C-46
N1181,Beech,C18S
N11817,Douglas,DC-6A
N1182C,Beech,C-45H
N11835,Aerospatiale/Aeritalia,ATR 42-320
N1184,Beech,D18S
N1184G,Convair,240
N1184U,Beech,A200
N11887,North American,NA-265-80
N119AA,Mcdonnell Douglas,DC-10-10
N119AG,Dassault,MYSTERE FALCON 50EX
N119BX,Learjet Inc,31A
N119CJ,Beech,1900C
N119DL,Boeing,767-332
N119DW,Britten-Norman,BN-2A-8
N119FB,Grumman Aircraft Eng Corp,G-111
N119FE,Boeing,727-25C
N119GP,Beech,C-99
N119J,Lockheed,18-08
N119PA,Cessna,402B
N119RM,Cessna,750
N119T,Beech,G18S
N119U,British Aerospace,BAE 125 SERIES 1000A
N119UA,Boeing,747-422
N119US,Airbus Industrie,A320-214
N119X,Beech,C-45H
N119XJ,Saab-Fairchild,340A
N1191K,Beech,300
N1194C,Beech,200
N11984,Groupment D'Interet Economique,AIRBUS IND. A300B4
N11985,Groupment D'Interet Economique,AIRBUS IND. A300B4
N12,Beech,A200
N12AQ,Beech,A100
N12AR,Dassault/Sud,FAN JET FALCON SER D
N12AX,Beech,E-90
N12BA,Douglas,DC3A-SC3G
N12CF,Beech,200
N12CQ,Cessna,560
N12DE,Rockwell International,690B
N12DT,Cessna,441
N12F,British Aerospace,BAE 125 SERIES 800A
N12FN,Gates Lear Jet Corp.,36
N12FQ,Mcdonnell Douglas Aircraft Co,MD-88
N12FU,Learjet Inc,60
N12GJ,Beech,E-90
N12GP,Grumman,G-1159
N12KA,Beech,E-90
N12KV,Aero Commander,680T
N12L,Cessna,560XL
N12LA,Beech,E-90
N12MF,Fairchild,SA226-T(B)
N12MG,Raytheon Aircraft Company,400A
N12NG,Beech,200
N12NL,Cessna,425
N12NX,Cessna,402C
N12NZ,Gulfstream Aerospace,G-IV
N12PT,Beech,E18S
N12RN,Cessna,560
N12RP,Gates Learjet Corp.,35A
N12ST,Learjet Inc,60
N12TF,Beech,E18S
N12U,Gulfstream Aerospace,G-IV
N12WF,Raytheon Aircraft Company,400A
N12YZ,Grumman,G-73
N120AA,Mcdonnell Douglas,DC-10-10
N120AC,Douglas,DC-6B
N120AM,Embraer,EMB-120RT
N120AP,British Aerospace,BAE 125 SERIES 800A
N120AX,Embraer,EMB-120ER
N120DL,Boeing,767-332
N120EK,Gulfstream Am Corp Comm Div,690D
N120FB,Grumman Aircraft Eng Corp,G-111
N120FE,Boeing,727-25C
N120FS,Beech,200
N120GP,Beech,1900C
N120HR,British Aerospace,BAE JETSTREAM 3101
N120HV,Learjet Inc,60
N120JC,Hawker Siddeley,HS.125 SERIES 700A
N120JM,Fairchild,SA227-AT
N120MG,Beech,B100
N120MH,British Aerospace A/C Group,HS.125-700A
N120NE,Mcdonnell Douglas,DC-9-15
N120NJ,Boeing,737-200A
N120P,Beech,200
N120PA,Canadair,CL-601-3A
N120PC,Cessna,402C
N120PR,Beech Acft Corp,B200T
N120RC,Beech,F90
N120RV,Learjet Inc,31A
N120SB,Cessna,560
N120SC,Swearingen,SA-226AT
N120SL,Gates Lear Jet,25B
N120TF,Dassault-Breguet,FALCON 20
N120TM,Swearingen,SA226-T(B)
N120UA,Boeing,747-422
N120UP,Airbus Industrie,A300F4-622R
N120US,Airbus Industrie,A320-214
N120WH,Dassault-Breguet,FALCON 20
N120YB,British Aerospace A/C Group,HS.125-700A
N120YV,Beech,1900D
N120ZZ,Beech,G18S
N1200K,Boeing,767-332
N1201P,Boeing,767-332
N1202S,Britten-Norman,BN2A-26 ISLANDER
N12046,Douglas,C-47
N1205S,Beech,E-90
N1206,Lockheed,749A-79
N12061,Mcdonnell-Douglas,DC-10-30
N12064,Mcdonnell-Douglas,DC-10-30
N1208,Grumman,G-73
N12080,Mcdonnell-Douglas,DC-10-30
N12099,Cessna,441
N121AC,Hawker Siddeley,HS.125-1B/522
N121AJ,Aero Commander,1121
N121B,Beech,E-90
N121BA,Mitsubishi,MU-2B-35
N121CA,Beech,C-12
N121CH,Mitsubishi,MU-2B-25
N121CQ,Saab-Scania,SF340A
N121CS,Piper,PA-42
N121DE,Boeing,767-332
N121DF,Bombardier Inc,CL-600-2B16
N121DJ,Dassault/Sud,FAN JET FALCON
N121DW,Britten-Norman,BN-2A-8
N121EG,Beech,E-90
N121EL,Learjet Inc,25
N121FB,Grumman Aircraft Eng Corp,G-111
N121FF,Canadair Ltd,CL-600-2B16
N121FX,Learjet Inc,31A
N121GU,Boeing,737-2H6
N121HE,Cessna,750
N121JJ,Gulfstream Aerospace,G-IV
N121JM,Gulfstream Aerospace,G-IV
N121JT,Gates Learjet Corp.,35A
N121JW,Rockwell International,690A
N121LB,Beech,200
N121LH,Piper,PA-42-720
N121LJ,Learjet Inc,31A
N121NJ,Boeing,737-2Q8
N121PA,Aero Commander,1121A
N121PB,Cessna,402C
N121PC,Short Bros,SD3-60
N121PM,Dehavilland,DHC-6 TWIN OTTER
N121SC,Beech,D18S
N121TD,Beech,C-12
N121UA,Boeing,747-422
N121UP,Airbus Industrie,A300F4-622R
N121UW,Airbus Industrie,A320-214
N1210Z,Cessna,441
N12109,Boeing,757-224
N12114,Boeing,757-224
N12116,Boeing,757-224
N1212C,Cessna,441
N1212K,Cessna,441
N12125,Boeing,757-224
N1213M,Douglas,DC3C-S1C3G
N1215V,Lockheed,18-08
N12154,Beech,200
N1217S,Cessna,560
N1217V,Cessna,560
N1218C,Grumman,G-1159
N122A,Douglas,DC-6B
N122AA,Mcdonnell Douglas,DC-10-10
N122AC,Douglas,C54-D
N122AM,Embraer,EMB-120RT
N122CA,Douglas,DC3A
N122DL,Boeing,767-332
N122DU,Grumman,G-1159
N122DW,Britten-Norman,BN-2A-8
N122EJ,Cessna,650
N122FX,Learjet Inc,31A
N122GA,Beech,F90
N122GL,Beech,1900C
N122GS,Beech,E18S
N122GU,Boeing,737-2H6
N122GV,Israel Aircraft Industries,ASTRA SPX
N122JW,Gates Learjet Corp.,35A
N122KH,Boeing,747-312
N122MP,Israel Aircraft Industries,1124A
N122NJ,Boeing,737-230
N122PB,Cessna,402C
N122PM,Dehavilland,DHC-6 TWIN OTTER
N122RF,Beech,200
N122RS,Gulfstream Aerospace,G-IV
N122SA,Dehavilland,DHC-6-300
N122ST,Aero Commander,1121B
N122SU,Gates Learjet Corp,55B
N122TA,Cessna,402C
N122TP,Beech,B200
N122UA,Boeing,747-422
N122UP,Airbus Industrie,A300F4-622R
N122US,Airbus Industrie,A320-214
N122UX,Beech,1900D
N1220W,Cessna,441
N1221J,Learjet Inc,60
N12216,Boeing,737-824
N12218,Boeing,737-824
N1222B,Cessna,425
N1222G,Cessna,425
N12221,Boeing,737-824
N12223,Handley Page,HP-137 MK1
N12225,Boeing,737-824
N1223P,Cessna,425
N12238,Boeing,737-824
N1224J,Cessna,425
N12244,Cessna,425
N1226B,Cessna,425
N12268,Cessna,425
N1227J,Cessna,425
N123AA,Mcdonnell Douglas,DC-10-10
N123AC,Hawker Siddeley,DH.125-3A
N123AF,Beech,300
N123AG,Piper,PA-42
N123BL,Beech,B100
N123CH,Beech,F90
N123CQ,Saab-Scania,SF340A
N123CV,Israel Aircraft Industries,1123
N123DN,Boeing,767-332
N123DR,Israel Aircraft Industries,1123
N123DZ,Douglas,DC3C-S1C3G
N123EM,Beech,D18S
N123FX,Dehavilland,DHC-6-200
N123G,Aero Commander,690A
N123GU,Boeing,737-2H6
N123HY,Embraer,EMB-110P1
N123J,Beech,D18S
N123K,Fairchild,C-123K
N123LA,Rockwell International Corp,695
N123LH,Swearingen,SA227-TT
N123M,Beech,D18S
N123MD,Beech,H-18
N123MH,Beech,E-90
N123ML,Raytheon Aircraft Company,B200
N123MR,Gulfstream American Corp.,G-1159A
N123NE,Britten-Norman,BN2A-26 ISLANDER
N123NJ,Boeing,737-230
N123PM,Beech,200
N123RC,Israel Aircraft Industries,1124A
N123SL,Cessna,650
N123TL,Gulfstream American Corp.,G-1159A
N123UE,Beech,1900C
N123UW,Airbus Industrie,A320-214
N123WH,Beech,B100
N123YV,Beech,1900D
N1230L,Lockheed,18
N12300,Douglas,DC3A
N12302,Boeing,727-231
N12304,Boeing,727-231
N12305,Boeing,727-231
N12307,Boeing,727-231
N12310,Alenia,C-27A SPARTAN
N12313,Boeing,737-3TO
N12318,Boeing,737-3TO
N12319,Boeing,737-3TO
N12322,Boeing,737-3TO
N12327,Boeing,737-3TO
N1233T,Cessna,402C
N12347,Douglas,DC-6A
N12349,Boeing,737-3TO
N12355,Boeing,B17-E
N12357,Beech,UC-45J
N1238,Aero Commander,680FL
N124BB,Beech,B300
N124CA,Short Bros,SHORTS SD3-60
N124CM,Beech,300
N124DE,Boeing,767-332
N124DG,Dehavilland,CARIBOU DHC-4A
N124DP,Piper,PA-42-1000
N124FE,Boeing,727-25C
N124FX,Learjet Inc,31A
N124GP,Beech,1900C
N124HR,Beech,C-45H
N124JM,Construcciones Aeronauticas Sa,C-212-CB
N124MP,Nihon,YS-11A-600
N124NJ,Boeing,737-230
N124PA,Piaggio,P180
N124R,Beech,D18S
N124UF,Israel Aircraft Industries,1124
N124UP,Airbus Industrie,A300F4-622R
N124US,Airbus Industrie,A320-214
N124VS,Aero Commander,1121
N124WS,Piper,PA-42-720
N124YV,Beech,1900D
N1240S,Beech,B200C
N1242N,Curtiss Wright,C-46F
N125AA,Mcdonnell Douglas,DC-10-10
N125AM,Embraer,EMB-120ER
N125AS,British Aerospace A/C Group,HS.125-700A
N125AV,Swearingen,SA226TC
N125BA,Beech,1900
N125CF,Hawker Siddeley,BH.125-400A
N125CH,Saab-Scania,SF340A
N125CK,Hawker Siddeley,HS125 SRS 400A
N125CS,Hawker Siddeley,HS.125 SERIES 700A
N125D,Beech,B100
N125DC,Grumman,G-1159
N125DH,Hawker Siddeley,BH.125-400A
N125DL,Boeing,767-332
N125DP,Beech,99
N125DT,Lockheed,L-1011-385-1
N125F,Hawker Siddeley,DH.125-3A/R
N125FD,Hawker Siddeley,DH.125-3A
N125FX,Learjet Inc,31A
N125GK,Hawker Siddeley,HS 125-3A
N125GP,Learjet Inc,31A
N125GU,Boeing,737-2H6
N125HF,Hawker Siddeley,HS-125-600A
N125HH,British Aerospace,BAE 125 SERIES 800A
N125HP,Lockheed,SP-2H
N125JR,Hawker Siddeley,DH.125-1A
N125KW,Beech,B200
N125LK,Hawker Siddeley,DH.125-3A
N125M,Beech,D18S
N125MB,Beech,C-45H
N125MM,Rockwell International,690C
N125N,Cessna,650
N125NA,Beechcraft-Hawker Corp.,BH-125-600A
N125NC,Beech,B200
N125NW,Hawker Siddeley,DH.125-400A
N125NX,North American,NA-265-70
N125PG,Cessna,425
N125PM,Dehavilland,DHC-6 TWIN OTTER
N125PS,Canadair Ltd,CL-600-2A12
N125Q,Cessna,650
N125SA,Dehavilland,DHC-6 TWIN OTTER
N125SB,British Aerospace,BAE 125 SERIES 800A
N125SC,Cessna,425
N125SF,Hawker Siddeley,HS-125-600A
N125SJ,British Aerospace A/C Group,HS.125-700A
N125TF,Beech,C-45H
N125TM,Raytheon Aircraft Company,HAWKER 800XP
N125TN,Gates Lear Jet,25B
N125TS,Beech,B200
N125UP,Airbus Industrie,A300F4-622R
N125VH,Beech,B100
N125X,Beech,E18S
N125XX,British Aerospace A/C Group,HS.125-700A
N125YV,Beech,1900D
N125YY,British Aerospace,HS.125-700B
N1250,Beech,300
N12505,Mcdonnell Douglas,DC-9-32
N1251W,Lockheed,18-56
N12519,Embraer,EMB-135LR
N12528,Embraer,EMB-135LR
N12532,Mcdonnell Douglas,DC-9-32
N12536,Mcdonnell Douglas,DC-9-32
N126AA,Mcdonnell Douglas,DC-10-10
N126AM,Embraer,EMB-120RT
N126AP,Beech,B200
N126CX,Learjet Inc,60
N126DL,Boeing,767-332
N126DS,Beech,B300
N126FX,Learjet Inc,31A
N126GA,Mitsubishi,MU-300
N126GU,Boeing,737-200
N126KC,Raytheon Corporate Jets Inc,HAWKER 800
N126KD,Gates Learjet Corp,55
N126M,Rockwell International Corp,695
N126PA,Piaggio,P180
N126R,Dassault-Breguet,FALCON 20
N126SP,Beech,B200
N126UP,Airbus Industrie,A300F4-622R
N126YV,Beech,1900D
N1262K,Cessna,425
N12659,Rockwell International,NA-265-80
N1268,Curtiss Wright,C-46D
N1269Y,Boeing,727-243
N127AA,Mcdonnell Douglas,DC-10-10
N127BA,Beech,1900
N127DC,Cessna,425
N127DL,Boeing,767-332
N127EC,Beech,E-90
N127FX,Learjet Inc,31A
N127GA,Beech,200
N127GT,Gates Learjet Corp,55
N127GU,Boeing,737-200
N127HP,Fairchild,F-27F
N127JM,Embraer,EMB-110P1
N127KC,Raytheon Corporate Jets Inc,HAWKER 800
N127LB,Britten Norman,BN-2A MK III
N127MC,Cessna,425
N127MJ,Beech,B200
N127ML,Beech,D18S
N127MW,Hamburger Flugzeugbau,HFB 320 HANSA
N127NK,Douglas,DC-9-21
N127QS,Boeing,737-7BC
N127RP,Corporate Jets Limited,BAE 125-1000A
N127SA,Israel Aircraft Industries,1124A
N127SB,Canadair,CL-604
N127SD,Beech,B200
N127SR,British Aerospace,HS.125-700B
N127TA,Beech,200
N127TT,Beech,200
N127UA,Boeing,747-422
N127UM,British Aerospace,BAE JETSTREAM 3101
N127UP,Airbus Industrie,A300F4-622R
N127V,Learjet Inc,31A
N127VP,Cessna,560
N127YV,Beech,1900C
N127Z,Beech,A100
N127ZV,Beech,1900D
N12703,Embraer,EMB-120FC
N12709,Embraer,EMB-120ER
N12715,Embraer,EMB-120ER
N12718,Beech,UC-45J
N12719,Beech,UC-45J
N1279E,Boeing,727-2Q6
N128AA,Mcdonnell Douglas,DC-10-10
N128AJ,Convair,600-240D
N128AN,Airbus Industrie,A-300-B4-2C
N128BP,Boeing,747-143
N128CA,Gates Learjet Corp.,35A
N128CH,Saab-Scania,SF340A
N128D,Douglas,DC3A-S4C4G
N128DL,Boeing,767-332
N128DW,Britten-Norman,BN-2A
N128EZ,Cessna,441
N128FE,Boeing,727-25C
N128FX,Learjet Inc,31A
N128GA,British Aircraft Corp.,BAC 1-11 401/AK
N128KG,Grumman,G-1159
N128M,Dassault Aviation,MYSTERE-FALCON 50
N128NA,Boeing,727-2J7
N128NC,Dehavilland,CARIBOU DHC-4A
N128NJ,Boeing,737-2B7
N128NK,Douglas,DC-9-21
N128QS,Boeing,737-7BC
N128SD,Hamburger Flugzeugbau,HFB 320 HANSA
N128SF,Beech,99
N128TJ,Gates Lear Jet,25B
N128TS,Grumman,G-1159
N128UA,Boeing,747-422
N128UP,Airbus Industrie,A300F4-622R
N128V,Learjet Inc,60
N128VT,Beech,B200
N128WJ,Dehavilland,DHC-6 TWIN OTTER
N12811,Mcdonnell Douglas,DC-9-82(MD-82)
N1282K,Cessna,560
N1283P,Aero Commander,680FL
N1284G,Cessna,402C
N1284U,Aero Commander,680FL
N1286C,Cessna,560
N129AA,Mcdonnell Douglas,DC-10-10
N129AF,Grumman,G-159
N129AJ,Convair,600-240D
N129C,Beech,E-90
N129CJ,Beech,1900C
N129D,Beech,200
N129DL,Boeing,767-332
N129FX,Learjet Inc,31A
N129H,Douglas,DC3A
N129JE,Dassault-Breguet,FALCON 50
N129K,Aero Commander,1121
N129KJ,Dassault Aviation,MYSTERE FALCON 900
N129MC,Raytheon Aircraft Company,400A
N129MP,Nihon,YS-11A-500
N129NK,Douglas,DC-9-21
N129PC,Douglas,DC3
N129PJ,Cessna,650
N129PM,Dehavilland,DHC-6 TWIN OTTER
N129QS,Boeing,737-7BC
N129SW,Boeing,737-2K6
N129TB,Gulfstream Am Corp Comm Div,690C
N129TF,Canadair Ltd,CL-600-2B16
N129TT,Beech,B200
N129TW,Boeing,747-128
N129UA,Boeing,747-422
N129UP,Airbus Industrie,A300F4-622R
N12900,Embraer,EMB-145LR
N12905,Convair,240
N12907,Douglas,DC3
N1291N,Beech,G18S
N12921,Embraer,EMB-145LR
N12922,Embraer,EMB-145LR
N12924,Embraer,EMB-145LR
N12934,Embraer,EMB-145ER
N1294,Douglas,DC3C
N12946,Embraer,EMB-145ER
N1295L,Douglas,DC-9-32
N12954,Douglas,DC3-G202A
N12957,Embraer,EMB-145
N12967,Embraer,EMB-145
N12978,Douglas,DC3-G202A
N12996,Embraer,EMB-145LR
N13FE,Douglas,DC-9-14
N13GM,Cessna,402B
N13NL,Israel Aircraft Industries,1124
N13NW,Cessna,441
N13RR,Mitsubishi,MU-2B-36
N13YS,Mitsubishi,MU-2B-36
N13ZV,Beech,1900D
N130AA,Mcdonnell Douglas,DC-10-10
N130AM,Embraer,EMB-120RT
N130AP,Hawker Siddeley,HS.125 SERIES 700A
N130AV,Piaggio,P180
N130BA,Beech,99
N130CT,Beech,200
N130D,Douglas,DC3C-S4C4G
N130DL,Boeing,767-332
N130F,Gates Lear Jet,35
N130FB,Grumman,G-73
N130FX,Learjet Inc,31A
N130G,Embraer,EMB-120RT
N130GA,Beech,1900C
N130GP,Beech,C-99
N130GV,Gulfstream Aerospace,G-V
N130JC,Lockheed,C130J
N130JN,Lockheed,C130J
N130JR,Lockheed,C130J
N130L,Beech,E18S-9700
N130LC,Raytheon Aircraft Company,BAE 125-800A
N130MS,Mitsubishi,MU-2B-60
N130MV,Dassault/Sud,FAN JET FALCON
N130MW,Hamburger Flugzeugbau,HFB 320 HANSA
N130NJ,Mcdonnell Douglas,DC-9-82(MD-82)
N130NK,Mcdonnell Douglas,DC-9-41
N130P,Dee Howard Company,500
N130Q,Douglas,DC3-G202A
N130QS,Boeing,737-7BC
N130SW,Boeing,737-2T4
N130TS,Cessna,650
N130TT,Rockwell International,690B
N130UA,Boeing,747-422
N130UE,Beech,1900C
N130UP,Airbus Industrie,A300F4-622R
N130W,Douglas,DC3
N130YB,Hawker Siddeley,HS.125 SERIES 700A
N1301,Douglas,DC-3A-S1C3G
N13066,Mcdonnell-Douglas,DC-10-30
N13067,Mcdonnell-Douglas,DC-10-30
N1308T,Douglas,DC-9-31
N13086,Mcdonnell Douglas,DC-10-30F
N13088,Mcdonnell-Douglas,DC-10-30
N1309T,Douglas,DC-9-31
N131A,Lockheed,PV-1
N131AA,Mcdonnell Douglas,DC-10-10
N131AM,Embraer,EMB-120RT
N131AR,Learjet Inc,31A
N131BP,Beech,B200
N131CR,Convair,C-131B
N131CW,Convair,C-131D
N131DM,Fairchild,C-119
N131DN,Boeing,767-332
N131EP,Dassault Aviation,FALCON 2000
N131FL,Convair,340
N131FS,Douglas,DC3C-S1C3G
N131FT,Convair,C-131E
N131FX,Learjet Inc,31A
N131GP,Beech,C-99
N131JL,Britten-Norman,BN-2A
N131JR,Rockwell International Corp,NA-265-60
N131LA,Hawker Siddeley,DH.125-400A
N131MV,Dassault/Sud,FAN JET FALCON
N131NC,Dehavilland,CARIBOU DHC-4A
N131NJ,Mcdonnell Douglas,DC-9-83(MD-83)
N131SJ,Beech,200
N131SP,Beech,F90
N131T,Convair,C-131E
N131TC,Beech,200
N131TR,Learjet Inc,60
N131UA,Boeing,747-422
N131UP,Airbus Industrie,A300F4-622R
N131YV,Beech,1900D
N13110,Boeing,757-224
N13113,Boeing,757-224
N13130,Beech,C18S
N13138,Boeing,757-224
N1315C,Cessna,560
N132AA,Mcdonnell Douglas,DC-10-10
N132AP,Dassault/Sud,FAN JET FALCON SER F
N132BK,Mitsubishi,MU-2B-60
N132CC,Beech,300
N132D,Douglas,DC-3A-S1C3G
N132DN,Boeing,767-332
N132E,Beech,D18S
N132EP,Dassault/Sud,FAN JET FALCON SER F
N132FP,Grumman,G-1159
N132FS,Douglas,DC3C
N132FX,Learjet Inc,31A
N132HS,Beech,E-90
N132JH,Aero Commander,690A
N132JL,Britten-Norman,BN-2A
N132JR,Cessna,402B
N132K,Beech,B200
N132LA,Aero Commander,1121B
N132LJ,Learjet Inc,45
N132MC,Beech,B200
N132MW,Hamburger Flugzeugbau,HFB 320 HANSA
N132N,Beech,B200
N132NJ,Mcdonnell Douglas,DC-9-87
N132NK,Douglas,DC-9-31
N132PP,Embraer,EMB-120ER
N132PR,Gulfstream Am Corp Comm Div,695A
N132RL,Hawker Siddeley,DH.125-3A/RA
N132UA,Boeing,747-422
N132YV,Beech,1900D
N1322M,Beech,C18S
N13227,Boeing,737-824
N13248,Boeing,737-824
N133A,Aero Commander,680FL
N133AA,Mcdonnell Douglas,DC-10-10
N133AC,Douglas,DC3
N133BA,Beech,99A
N133BF,Beech,C18S
N133BP,Raytheon Aircraft Company,400A
N133CA,Boeing,727-77
N133D,Douglas,DC-3A-S1C3G
N133DL,Rockwell International,690C
N133DN,Boeing,767-332
N133EJ,Gates Learjet Corp.,35A
N133FE,Boeing,727-25C
N133FS,Douglas,DC3C-R-1830-90C
N133FX,Learjet Inc,31A
N133GA,Beech,B200
N133JC,Douglas,DC-10-40
N133K,Beech,B200
N133ME,Aero Commander,1121
N133NK,Mcdonnell Douglas,DC-9-32
N133NL,Raytheon Aircraft Company,B300
N133PA,Piaggio,P180
N133UA,Boeing,747-422
N133UP,Airbus Industrie,A300F4-622R
N133YV,Beech,1900D
N1332U,Mcdonnell Douglas,DC-9-31
N13331,Boeing,737-3TO
N1334U,Douglas,DC-9-31
N13347,Boeing,247D
N13352,Beech,C18S
N1339D,Dornier,DO.228-200
N1339U,Dornier,DO.228-200
N134AA,Mcdonnell Douglas,DC-10-10
N134BJ,Raytheon Aircraft Company,400A
N134CA,Boeing,727-77
N134CM,Raytheon Aircraft Company,400A
N134D,Douglas,DC3
N134DL,Boeing,767-332
N134FE,Boeing,727-25C
N134FX,Learjet Inc,31A
N134L,Beech,D18S
N134N,Aero Commander,1121B
N134NJ,Lockheed,18
N134NW,Hawker Siddeley,HS.125 SERIES 700A
N134PM,Beech,99
N134RG,Mitsubishi,MU-300
N134UA,Boeing,747-422
N134UP,Airbus Industrie,A300F4-622R
N134WJ,Beech,B200C
N13413,Beech,TC-45J
N13415,Martin,404
N13416,Martin,404
N1342K,Convair,240
N1342N,Convair,240
N1346,Douglas,DC3C
N1347Z,Beech,A100
N1348G,Britten-Norman,BN-2A
N135AA,Mcdonnell Douglas,DC-10-10
N135AF,Cessna,650
N135AG,Gates Learjet Corp.,35A
N135BC,Canadair,CL-600-2B19
